Date,Type,Link
2023-09-09 12:52:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7106251994499067907
2023-09-09 12:50:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7105948696302800896
2023-09-09 12:49:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7106189258415087616
2023-09-09 07:13:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7106148877866598400?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7106148877866598400%2C7106172657708007424%29
2023-09-09 07:09:08,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7106148877866598400
2023-09-09 04:39:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7105943000140177410
2023-09-09 04:39:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7105926564206276608
2023-09-09 04:39:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7105157474176892929
2023-09-08 14:54:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7105918855989870592
2023-09-08 13:05:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7105895192011931649
2023-09-08 11:19:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7105825691618750464
2023-09-08 11:18:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7105869233225408512
2023-09-08 11:10:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7105807054434410496
2023-09-08 06:10:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7105762799120752640
2023-09-08 06:03:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7105767629327339520
2023-09-07 15:42:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7105571538711568384
2023-09-07 04:28:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7105241114600767488
2023-09-07 04:28:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7105399286309281792
2023-09-07 04:28:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7105221935650783234
2023-09-07 04:25:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7105211429963644929
2023-09-06 14:25:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7105146682912169984
2023-09-06 10:52:45,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7105023225302065153
2023-09-06 07:43:22,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7104774926854758400
2023-09-06 05:53:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7105059544824713216
2023-09-06 04:57:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7105007911038283777
2023-09-05 15:08:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7104826959406231553
2023-09-05 15:08:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7104833127679688705
2023-09-05 12:55:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7104786415883800577
2023-09-05 05:24:07,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7104673760393236480
2023-09-04 15:33:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7104466065652396032
2023-09-04 08:07:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7104373764565458944
2023-09-04 07:38:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7104108495599222784
2023-09-04 07:32:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7104111344806707201
2023-09-04 07:32:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7104143814499442688
2023-09-04 07:32:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7104103649366175747
